2024-12-13 10:50:35,588 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 10:53:04,192 - INFO - Conex�o estabelecida com ('127.0.0.1', 62994)
2024-12-13 10:53:04,192 - INFO - Clientes ativos: 1
2024-12-13 10:53:08,357 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:54:34,449 - INFO - Mensagem enviada para ('127.0.0.1', 62994): andrei
2024-12-13 10:54:57,239 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:56:20,682 - INFO - Mensagem enviada para ('127.0.0.1', 62994): joia
2024-12-13 10:58:16,559 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 10:58:16,604 - INFO - Monitoramento: CPU 0.0% | Memória 73.2% | Clientes ativos 1
2024-12-13 10:58:21,607 - INFO - Monitoramento: CPU 6.9% | Memória 73.3% | Clientes ativos 1
2024-12-13 10:58:26,611 - INFO - Monitoramento: CPU 14.1% | Memória 73.2% | Clientes ativos 1
2024-12-13 10:58:31,614 - INFO - Monitoramento: CPU 10.2% | Memória 73.0% | Clientes ativos 1
2024-12-13 10:58:36,617 - INFO - Monitoramento: CPU 9.1% | Memória 73.0% | Clientes ativos 1
2024-12-13 10:58:41,621 - INFO - Monitoramento: CPU 23.5% | Memória 73.1% | Clientes ativos 1
2024-12-13 10:58:46,625 - INFO - Monitoramento: CPU 9.1% | Memória 72.9% | Clientes ativos 1
2024-12-13 10:58:51,630 - INFO - Monitoramento: CPU 10.6% | Memória 72.9% | Clientes ativos 1
2024-12-13 10:58:54,435 - INFO - Conexão estabelecida com ('127.0.0.1', 63245)
2024-12-13 10:58:54,435 - INFO - Clientes ativos: 2
2024-12-13 10:58:56,634 - INFO - Monitoramento: CPU 7.4% | Memória 73.1% | Clientes ativos 2
2024-12-13 10:58:57,539 - INFO - Mensagem recebida de ('127.0.0.1', 63245): a
2024-12-13 10:59:01,637 - INFO - Monitoramento: CPU 13.9% | Memória 72.9% | Clientes ativos 2
2024-12-13 10:59:06,641 - INFO - Monitoramento: CPU 15.3% | Memória 73.1% | Clientes ativos 2
2024-12-13 10:59:11,646 - INFO - Monitoramento: CPU 17.6% | Memória 73.1% | Clientes ativos 2
2024-12-13 10:59:16,650 - INFO - Monitoramento: CPU 28.5% | Memória 73.1% | Clientes ativos 2
2024-12-13 10:59:21,654 - INFO - Monitoramento: CPU 7.2% | Memória 73.0% | Clientes ativos 2
2024-12-13 10:59:26,665 - INFO - Monitoramento: CPU 6.4% | Memória 73.0% | Clientes ativos 2
2024-12-13 10:59:31,674 - INFO - Monitoramento: CPU 12.8% | Memória 73.3% | Clientes ativos 2
2024-12-13 10:59:36,680 - INFO - Monitoramento: CPU 13.7% | Memória 73.8% | Clientes ativos 2
2024-12-13 10:59:41,687 - INFO - Monitoramento: CPU 20.3% | Memória 74.3% | Clientes ativos 2
2024-12-13 10:59:46,692 - INFO - Monitoramento: CPU 26.1% | Memória 75.1% | Clientes ativos 2
2024-12-13 10:59:51,697 - INFO - Monitoramento: CPU 20.9% | Memória 75.2% | Clientes ativos 2
2024-12-13 10:59:56,701 - INFO - Monitoramento: CPU 18.2% | Memória 75.3% | Clientes ativos 2
2024-12-13 11:00:01,705 - INFO - Monitoramento: CPU 24.6% | Memória 75.6% | Clientes ativos 2
2024-12-13 11:00:06,708 - INFO - Monitoramento: CPU 28.3% | Memória 75.6% | Clientes ativos 2
2024-12-13 11:00:11,715 - INFO - Monitoramento: CPU 28.3% | Memória 76.1% | Clientes ativos 2
2024-12-13 11:00:16,719 - INFO - Monitoramento: CPU 27.3% | Memória 73.6% | Clientes ativos 2
2024-12-13 11:00:21,727 - INFO - Monitoramento: CPU 15.6% | Memória 73.3% | Clientes ativos 2
